                PRELIMINARY PRICES AS OF 06/30/20 09:30 AM (CST)
MTH/                 ---- DAILY ---                        PT                     -------  PRIOR  DAY  -------
STRIKE     OPEN      HIGH      LOW       LAST      SETT    CHGE     EST.VOL       SETT         VOL         INT
JUN26      ----      ----      ----      ----      ----    UNCH                   -.16
JLY26      ----      ----      ----      ----      ----    UNCH                   -.12
AUG26      ----      ----      ----      ----      ----    UNCH                   -.07
SEP26      ----      ----      ----      ----      ----    UNCH                   -.14
OCT26      ----      ----      ----      ----      ----    UNCH                   -.13
NOV26      ----      ----      ----      ----      ----    UNCH                   -.09
DEC26      ----      ----      ----      ----      ----    UNCH                   -.14
JAN27      ----      ----      ----      ----      ----    UNCH                   -.12
FEB27      ----      ----      ----      ----      ----    UNCH                   -.14
MAR27      ----      ----      ----      ----      ----    UNCH                   -.12
APR27      ----      ----      ----      ----      ----    UNCH                   -.15
MAY27      ----      ----      ----      ----      ----    UNCH                   -.03
JUN27      ----      ----      ----      ----      ----    UNCH                   -.25
JLY27      ----      ----      ----      ----      ----    UNCH                   -.09
AUG27      ----      ----      ----      ----      ----    UNCH                   -.12
SEP27      ----      ----      ----      ----      ----    UNCH                   -.13
OCT27      ----      ----      ----      ----      ----    UNCH                   -.14
NOV27      ----      ----      ----      ----      ----    UNCH                    .03
DEC27      ----      ----      ----      ----      ----    UNCH                   -.28
JAN28      ----      ----      ----      ----      ----    UNCH                   -.10
FEB28      ----      ----      ----      ----      ----    UNCH                   -.12
MAR28      ----      ----      ----      ----      ----    UNCH                   -.12
APR28      ----      ----      ----      ----      ----    UNCH                   -.13
MAY28      ----      ----      ----      ----      ----    UNCH                    .05
JUN28      ----      ----      ----      ----      ----    UNCH                   -.25
JLY28      ----      ----      ----      ----      ----    UNCH                   -.14
AUG28      ----      ----      ----      ----      ----    UNCH                   -.09
SEP28      ----      ----      ----      ----      ----    UNCH                   -.11
OCT28      ----      ----      ----      ----      ----    UNCH                   -.12
NOV28      ----      ----      ----      ----      ----    UNCH                    .01
DEC28      ----      ----      ----      ----      ----    UNCH                   -.23
JAN29      ----      ----      ----      ----      ----    UNCH                   -.12
FEB29      ----      ----      ----      ----      ----    UNCH                   -.12
MAR29      ----      ----      ----      ----      ----    UNCH                   -.13
APR29      ----      ----      ----      ----      ----    UNCH                   -.10
MAY29      ----      ----      ----      ----      ----    UNCH                    .00
JUN29      ----      ----      ----      ----      ----    UNCH                   -.15
JLY29      ----      ----      ----      ----      ----    UNCH                   -.13
AUG29      ----      ----      ----      ----      ----    UNCH                   -.11
SEP29      ----      ----      ----      ----      ----    UNCH                   -.10
OCT29      ----      ----      ----      ----      ----    UNCH                   -.10
NOV29      ----      ----      ----      ----      ----    UNCH                   -.11
DEC29      ----      ----      ----      ----      ----    UNCH                   -.13
JAN30      ----      ----      ----      ----      ----    UNCH                   -.10
FEB30      ----      ----      ----      ----      ----    UNCH                   -.10
MAR30      ----      ----      ----      ----      ----    UNCH                   -.08
APR30      ----      ----      ----      ----      ----    UNCH                   -.11
MAY30      ----      ----      ----      ----      ----    UNCH                   -.10
JUN30      ----      ----      ----      ----      ----    UNCH                   -.11
JLY30      ----      ----      ----      ----      ----    UNCH                   -.12
AUG30      ----      ----      ----      ----      ----    UNCH                   -.12
SEP30      ----      ----      ----      ----      ----    UNCH                   -.10
OCT30      ----      ----      ----      ----      ----    UNCH                   -.11
NOV30      ----      ----      ----      ----      ----    UNCH                   -.12
DEC30      ----      ----      ----      ----      ----    UNCH                   -.15
JAN31      ----      ----      ----      ----      ----    UNCH                   -.15
CL Light Sweet Crude Oil Futures
AUG20     39.64     39.80     38.85     39.04      ----    UNCH      109899      39.70      343913      287515
SEP20     39.76     39.90     38.97     39.14      ----    UNCH       49118      39.81      145178      329743
OCT20     39.86     40.00B    39.10     39.26A     ----    UNCH       18061      39.92       50115      131321
NOV20     40.09     40.09     39.24A    39.38      ----    UNCH       14687      40.04       27400      114134
DEC20     40.02     40.25     39.37     39.53A     ----    UNCH        9049      40.17       68966      311377
JAN21     40.09     40.32B    39.53     39.64      ----    UNCH        2495      40.28       11953       78366
FEB21     40.38     40.43B    39.66A    39.74B     ----    UNCH        1143      40.40        5083       49372
MAR21     40.58     40.58     39.79     39.91B     ----    UNCH        1212      40.52       11130       64263
APR21     40.35     40.44B    39.92A    40.02      ----    UNCH         143      40.64        5104       34486
MAY21     40.46     40.58     40.05A    40.11A     ----    UNCH          48      40.75        3577       33464
JUN21     40.70     40.95B    40.16     40.29B     ----    UNCH        2642      40.87       20063      127527
JLY21     40.41     40.41     40.33     40.33      ----    UNCH          21      40.97        2645       27398
AUG21      ----      ----     40.90A    40.90A     ----    UNCH         166      41.06        2428       19674
SEP21      ----      ----     41.03A    41.03A     ----    UNCH         916      41.16        4310       37444
OCT21      ----      ----     41.13A    41.13A     ----    UNCH         129      41.26         800       16860
NOV21      ----      ----     41.22A    41.22A     ----    UNCH         115      41.37         380       17330
DEC21     41.35     41.59B    40.82     40.93A     ----    UNCH        2645      41.48       19442      143230
JAN22      ----      ----     41.40A    41.40A     ----    UNCH          21      41.56         248       11306
FEB22      ----      ----     41.55A    41.55A     ----    UNCH           3      41.63         157        8370
MAR22      ----      ----     41.65A    41.65A     ----    UNCH          13      41.72          69        9193
APR22      ----      ----     41.76A    41.76A     ----    UNCH                  41.81                    2889
MAY22      ----      ----      ----      ----      ----    UNCH                  41.90         500        3505
JUN22     41.81     41.86B    41.45     41.46      ----    UNCH         332      42.01        4034       26552
JLY22      ----      ----      ----      ----      ----    UNCH                  42.09         500        3284
AUG22      ----      ----      ----      ----      ----    UNCH                  42.18                    2907
SEP22      ----      ----      ----      ----      ----    UNCH                  42.28                    2883
OCT22      ----      ----      ----      ----      ----    UNCH                  42.39                    3070
NOV22      ----      ----      ----      ----      ----    UNCH                  42.52                    3945
DEC22     42.47     42.60B    42.08A    42.15B     ----    UNCH         616      42.64        4504       45735
JAN23      ----      ----      ----      ----      ----    UNCH                  42.72                    1422
FEB23      ----      ----      ----      ----      ----    UNCH                  42.81                    3088
MAR23      ----      ----      ----      ----      ----    UNCH                  42.89                    2484
APR23      ----      ----      ----      ----      ----    UNCH                  42.98                    1593
MAY23      ----      ----      ----      ----      ----    UNCH                  43.07                    1777
JUN23      ----      ----      ----      ----      ----    UNCH                  43.18          36        8201
JLY23      ----      ----      ----      ----      ----    UNCH                  43.26                    4674
AUG23      ----      ----      ----      ----      ----    UNCH                  43.36                     340
SEP23      ----      ----      ----      ----      ----    UNCH                  43.47                     680
OCT23      ----      ----      ----      ----      ----    UNCH                  43.58                     326
NOV23      ----      ----      ----      ----      ----    UNCH                  43.69                     342
DEC23      ----      ----      ----      ----      ----    UNCH          16      43.79        1417       19921
JAN24      ----      ----      ----      ----      ----    UNCH                  43.85                     372
FEB24      ----      ----      ----      ----      ----    UNCH                  43.93                      32
MAR24      ----      ----      ----      ----      ----    UNCH                  44.06                      31
APR24      ----      ----      ----      ----      ----    UNCH                  44.13                      31
MAY24      ----      ----      ----      ----      ----    UNCH                  44.25                      31
JUN24      ----      ----      ----      ----      ----    UNCH                  44.32                    2322
JLY24      ----      ----      ----      ----      ----    UNCH                  44.39                      31
AUG24      ----      ----      ----      ----      ----    UNCH                  44.49                      31
SEP24      ----      ----      ----      ----      ----    UNCH                  44.60                      31
OCT24      ----      ----      ----      ----      ----    UNCH                  44.70                      31
NOV24      ----      ----      ----      ----      ----    UNCH                  44.82                      31
DEC24      ----      ----      ----      ----      ----    UNCH                  44.93         302       11410
JAN25      ----      ----      ----      ----      ----    UNCH                  44.98                      17
FEB25      ----      ----      ----      ----      ----    UNCH                  45.11                      17
MAR25      ----      ----      ----      ----      ----    UNCH                  45.18                      17
APR25      ----      ----      ----      ----      ----    UNCH                  45.31                      17
MAY25      ----      ----      ----      ----      ----    UNCH                  45.41                      17
JUN25      ----      ----      ----      ----      ----    UNCH                  45.53                      18
JLY25      ----      ----      ----      ----      ----    UNCH                  45.61                      17
AUG25      ----      ----      ----      ----      ----    UNCH                  45.72                      17
SEP25      ----      ----      ----      ----      ----    UNCH                  45.79                      17
OCT25      ----      ----      ----      ----      ----    UNCH                  45.87                      17
NOV25      ----      ----      ----      ----      ----    UNCH                  46.04                      17
DEC25      ----      ----      ----      ----      ----    UNCH                  46.15           5        1848
JAN26      ----      ----      ----      ----      ----    UNCH                  46.25                      26
FEB26      ----      ----      ----      ----      ----    UNCH                  46.35                      26
MAR26      ----      ----      ----      ----      ----    UNCH                  46.44                      26
APR26      ----      ----      ----      ----      ----    UNCH                  46.56                      26
MAY26      ----      ----      ----      ----      ----    UNCH                  46.70                      26
JUN26      ----      ----      ----      ----      ----    UNCH                  46.79                      26
JLY26      ----      ----      ----      ----      ----    UNCH                  46.95                      26
AUG26      ----      ----      ----      ----      ----    UNCH                  47.07                      26
SEP26      ----      ----      ----      ----      ----    UNCH                  47.14                      26
OCT26      ----      ----      ----      ----      ----    UNCH                  47.28                      26
NOV26      ----      ----      ----      ----      ----    UNCH                  47.41                      26
DEC26      ----      ----      ----      ----      ----    UNCH                  47.50           1        1766
JAN27      ----      ----      ----      ----      ----    UNCH                  47.64
FEB27      ----      ----      ----      ----      ----    UNCH                  47.76
MAR27      ----      ----      ----      ----      ----    UNCH                  47.90
APR27      ----      ----      ----      ----      ----    UNCH                  48.02
MAY27      ----      ----      ----      ----      ----    UNCH                  48.17
JUN27      ----      ----      ----      ----      ----    UNCH                  48.20
JLY27      ----      ----      ----      ----      ----    UNCH                  48.45
AUG27      ----      ----      ----      ----      ----    UNCH                  48.54
SEP27      ----      ----      ----      ----      ----    UNCH                  48.66
OCT27      ----      ----      ----      ----      ----    UNCH                  48.79
NOV27      ----      ----      ----      ----      ----    UNCH                  48.93
DEC27      ----      ----      ----      ----      ----    UNCH                  48.90                     824
