                PRELIMINARY PRICES AS OF 06/30/20 09:30 AM (CST)
MTH/                 ---- DAILY ---                        PT                     -------  PRIOR  DAY  -------
STRIKE     OPEN      HIGH      LOW       LAST      SETT    CHGE     EST.VOL       SETT         VOL         INT
300        ----      ----      ----      ----      ----    UNCH                  .0852                      90
350        ----      ----      ----      ----      ----    UNCH                  .0480                      10
E7 MAY22 Henry Hub Natural Gas Last Day Financial Option CALL
272        ----      ----      ----      ----      ----    UNCH                  .1022                      46
300        ----      ----      ----      ----      ----    UNCH                  .0679                      93
350        ----      ----      ----      ----      ----    UNCH                  .0377                      10
E7 JUN22 Henry Hub Natural Gas Last Day Financial Option CALL
272        ----      ----      ----      ----      ----    UNCH                  .1059                      46
300        ----      ----      ----      ----      ----    UNCH                  .0698                      90
350        ----      ----      ----      ----      ----    UNCH                  .0386                      10
E7 JLY22 Henry Hub Natural Gas Last Day Financial Option CALL
272        ----      ----      ----      ----      ----    UNCH                  .1161                      46
300        ----      ----      ----      ----      ----    UNCH                  .0762                      93
350        ----      ----      ----      ----      ----    UNCH                  .0422                      10
E7 AUG22 Henry Hub Natural Gas Last Day Financial Option CALL
272        ----      ----      ----      ----      ----    UNCH                  .1185                      46
300        ----      ----      ----      ----      ----    UNCH                  .0778                      93
350        ----      ----      ----      ----      ----    UNCH                  .0433                      10
E7 SEP22 Henry Hub Natural Gas Last Day Financial Option CALL
272        ----      ----      ----      ----      ----    UNCH                  .1161                      46
300        ----      ----      ----      ----      ----    UNCH                  .0769                      90
350        ----      ----      ----      ----      ----    UNCH                  .0432                      10
E7 OCT22 Henry Hub Natural Gas Last Day Financial Option CALL
272        ----      ----      ----      ----      ----    UNCH                  .1247                      46
300        ----      ----      ----      ----      ----    UNCH                  .0828                      93
350        ----      ----      ----      ----      ----    UNCH                  .0468                      10
E7 NOV22 Henry Hub Natural Gas Last Day Financial Option CALL
272        ----      ----      ----      ----      ----    UNCH                  .1640                      46
300        ----      ----      ----      ----      ----    UNCH                  .1175                      90
350        ----      ----      ----      ----      ----    UNCH                  .0627                      10
E7 DEC22 Henry Hub Natural Gas Last Day Financial Option CALL
272        ----      ----      ----      ----      ----    UNCH                  .2431                      46
300        ----      ----      ----      ----      ----    UNCH                  .1790                      93
350        ----      ----      ----      ----      ----    UNCH                  .1051                      10
E7 JAN23 Henry Hub Natural Gas Last Day Financial Option CALL
350        ----      ----      ----      ----      ----    UNCH                  .2220                      10
E7 FEB23 Henry Hub Natural Gas Last Day Financial Option CALL
350        ----      ----      ----      ----      ----    UNCH                  .2394                      10
E7 MAR23 Henry Hub Natural Gas Last Day Financial Option CALL
350        ----      ----      ----      ----      ----    UNCH                  .2224                      10
E7 APR23 Henry Hub Natural Gas Last Day Financial Option CALL
350        ----      ----      ----      ----      ----    UNCH                  .0529                      10
E7 MAY23 Henry Hub Natural Gas Last Day Financial Option CALL
350        ----      ----      ----      ----      ----    UNCH                  .0461                      10
E7 JUN23 Henry Hub Natural Gas Last Day Financial Option CALL
350        ----      ----      ----      ----      ----    UNCH                  .0473                      10
E7 JLY23 Henry Hub Natural Gas Last Day Financial Option CALL
350        ----      ----      ----      ----      ----    UNCH                  .0491                      10
E7 AUG23 Henry Hub Natural Gas Last Day Financial Option CALL
350        ----      ----      ----      ----      ----    UNCH                  .0499                      10
E7 SEP23 Henry Hub Natural Gas Last Day Financial Option CALL
350        ----      ----      ----      ----      ----    UNCH                  .0500                      10
E7 OCT23 Henry Hub Natural Gas Last Day Financial Option CALL
350        ----      ----      ----      ----      ----    UNCH                  .0525                      10
E7 NOV23 Henry Hub Natural Gas Last Day Financial Option CALL
350        ----      ----      ----      ----      ----    UNCH                  .0512                      10
E7 DEC23 Henry Hub Natural Gas Last Day Financial Option CALL
350        ----      ----      ----      ----      ----    UNCH                  .0799                      10
TOTAL                                                               EST.VOL                 VOLUME    OPEN INT
TOTAL                                                                                           12       11633
E7 AUG20 Henry Hub Natural Gas Last Day Financial Option PUT
150        ----      ----      ----      ----      ----    UNCH                  .0482                      44
165        ----      ----      ----      ----      ----    UNCH                  .1006                      75
175        ----      ----      ----      ----      ----    UNCH                  .1517                      14
180        ----      ----      ----      ----      ----    UNCH                  .1821                      15
190        ----      ----      ----      ----      ----    UNCH                  .2516                     600
200        ----      ----      ----      ----      ----    UNCH                  .3303                     641
209        ----      ----      ----      ----      ----    UNCH                  .4072                      62
220        ----      ----      ----      ----      ----    UNCH                  .5069                      42
230        ----      ----      ----      ----      ----    UNCH                  .6011                      11
250        ----      ----      ----      ----      ----    UNCH                  .7953                      33
253        ----      ----      ----      ----      ----    UNCH                  .8248                      22
255        ----      ----      ----      ----      ----    UNCH                  .8445                      62
E7 SEP20 Henry Hub Natural Gas Last Day Financial Option PUT
150        ----      ----      ----      ----      ----    UNCH                  .0842                      44
165        ----      ----      ----      ----      ----    UNCH                  .1373                      75
175        ----      ----      ----      ----      ----    UNCH                  .1826                      15
180        ----      ----      ----      ----      ----    UNCH                  .2088                      15
190        ----      ----      ----      ----      ----    UNCH                  .2676                     600
200        ----      ----      ----      ----      ----    UNCH                  .3348                     640
209        ----      ----      ----      ----      ----    UNCH                  .4014                      60
220        ----      ----      ----      ----      ----    UNCH                  .4902                      41
230        ----      ----      ----      ----      ----    UNCH                  .5771                      10
250        ----      ----      ----      ----      ----    UNCH                  .7616                      33
253        ----      ----      ----      ----      ----    UNCH                  .7901                      15
255        ----      ----      ----      ----      ----    UNCH                  .8092                      60
E7 OCT20 Henry Hub Natural Gas Last Day Financial Option PUT
150        ----      ----      ----      ----      ----    UNCH                  .0950                      44
175        ----      ----      ----      ----      ----    UNCH                  .1841                      13
180        ----      ----      ----      ----      ----    UNCH                  .2066                      15
190        ----      ----      ----      ----      ----    UNCH                  .2565                     600
200        ----      ----      ----      ----      ----    UNCH                  .3128                     641
209        ----      ----      ----      ----      ----    UNCH                  .3691                      62
220        ----      ----      ----      ----      ----    UNCH                  .4451                      42
230        ----      ----      ----      ----      ----    UNCH                  .5200                      10
250        ----      ----      ----      ----      ----    UNCH                  .6844                      33
255        ----      ----      ----      ----      ----    UNCH                  .7278                      62
E7 NOV20 Henry Hub Natural Gas Last Day Financial Option PUT
180        ----      ----      ----      ----      ----    UNCH                  .1041                      15
200        ----      ----      ----      ----      ----    UNCH                  .1686                      29
209        ----      ----      ----      ----      ----    UNCH                  .2059                      60
220        ----      ----      ----      ----      ----    UNCH                  .2582                      39
225        ----      ----      ----      ----      ----    UNCH                  .2845                       2
230        ----      ----      ----      ----      ----    UNCH                  .3122                      19
234        ----      ----      ----      ----      ----    UNCH                  .3354                       5
240        ----      ----      ----      ----      ----    UNCH                  .3717                       3
250        ----      ----      ----      ----      ----    UNCH                  .4365                      32
255        ----      ----      ----      ----      ----    UNCH                  .4708                      60
E7 DEC20 Henry Hub Natural Gas Last Day Financial Option PUT
180        ----      ----      ----      ----      ----    UNCH                  .0269                      15
200        ----      ----      ----      ----      ----    UNCH                  .0496                      31
209        ----      ----      ----      ----      ----    UNCH                  .0662                      62
220        ----      ----      ----      ----      ----    UNCH                  .0919                      40
225        ----      ----      ----      ----      ----    UNCH                  .1058                       2
230        ----      ----      ----      ----      ----    UNCH                  .1214                      19
234        ----      ----      ----      ----      ----    UNCH                  .1351                       5
240        ----      ----      ----      ----      ----    UNCH                  .1579                       3
250        ----      ----      ----      ----      ----    UNCH                  .2017                      32
255        ----      ----      ----      ----      ----    UNCH                  .2261                      62
E7 JAN21 Henry Hub Natural Gas Last Day Financial Option PUT
200        ----      ----      ----      ----      ----    UNCH                  .0532                      30
220        ----      ----      ----      ----      ----    UNCH                  .0948                      47
225        ----      ----      ----      ----      ----    UNCH                  .1086                     142
230        ----      ----      ----      ----      ----    UNCH                  .1240                      11
234        ----      ----      ----      ----      ----    UNCH                  .1374                       5
240        ----      ----      ----      ----      ----    UNCH                  .1591           1          39
245        ----      ----      ----      ----      ----    UNCH                  .1788                      62
250        ----      ----      ----      ----      ----    UNCH                  .2002                      53
E7 FEB21 Henry Hub Natural Gas Last Day Financial Option PUT
200        ----      ----      ----      ----      ----    UNCH                  .0739                      24
220        ----      ----      ----      ----      ----    UNCH                  .1265                      44
225        ----      ----      ----      ----      ----    UNCH                  .1436                     142
230        ----      ----      ----      ----      ----    UNCH                  .1622                      11
234        ----      ----      ----      ----      ----    UNCH                  .1780                       5
240        ----      ----      ----      ----      ----    UNCH                  .2035           1          36
245        ----      ----      ----      ----      ----    UNCH                  .2266                      56
250        ----      ----      ----      ----      ----    UNCH                  .2511                      50
E7 MAR21 Henry Hub Natural Gas Last Day Financial Option PUT
200        ----      ----      ----      ----      ----    UNCH                  .0971                      23
220        ----      ----      ----      ----      ----    UNCH                  .1641                      47
225        ----      ----      ----      ----      ----    UNCH                  .1845                     142
230        ----      ----      ----      ----      ----    UNCH                  .2066                      11
234        ----      ----      ----      ----      ----    UNCH                  .2255                       5
240        ----      ----      ----      ----      ----    UNCH                  .2557           1          39
245        ----      ----      ----      ----      ----    UNCH                  .2822                      62
250        ----      ----      ----      ----      ----    UNCH                  .3098                      53
E7 APR21 Henry Hub Natural Gas Last Day Financial Option PUT
200        ----      ----      ----      ----      ----    UNCH                  .0948                      27
210        ----      ----      ----      ----      ----    UNCH                  .1252                       4
220        ----      ----      ----      ----      ----    UNCH                  .1616                      12
225        ----      ----      ----      ----      ----    UNCH                  .1821                     140
230        ----      ----      ----      ----      ----    UNCH                  .2044                      11
240        ----      ----      ----      ----      ----    UNCH                  .2536           1          39
245        ----      ----      ----      ----      ----    UNCH                  .2804                      60
250        ----      ----      ----      ----      ----    UNCH                  .3085                      53
E7 MAY21 Henry Hub Natural Gas Last Day Financial Option PUT
200        ----      ----      ----      ----      ----    UNCH                  .0913                      26
210        ----      ----      ----      ----      ----    UNCH                  .1201                       4
220        ----      ----      ----      ----      ----    UNCH                  .1551                      12
225        ----      ----      ----      ----      ----    UNCH                  .1750                     140
230        ----      ----      ----      ----      ----    UNCH                  .1966                      11
240        ----      ----      ----      ----      ----    UNCH                  .2445           1          40
245        ----      ----      ----      ----      ----    UNCH                  .2712                      62
250        ----      ----      ----      ----      ----    UNCH                  .2995                      54
E7 JUN21 Henry Hub Natural Gas Last Day Financial Option PUT
200        ----      ----      ----      ----      ----    UNCH                  .0840                      27
210        ----      ----      ----      ----      ----    UNCH                  .1107                       4
220        ----      ----      ----      ----      ----    UNCH                  .1433                      12
225        ----      ----      ----      ----      ----    UNCH                  .1619                     140
230        ----      ----      ----      ----      ----    UNCH                  .1822                      11
240        ----      ----      ----      ----      ----    UNCH                  .2275           1          39
245        ----      ----      ----      ----      ----    UNCH                  .2527                      60
250        ----      ----      ----      ----      ----    UNCH                  .2797                      53
E7 JLY21 Henry Hub Natural Gas Last Day Financial Option PUT
200        ----      ----      ----      ----      ----    UNCH                  .0804                      18
210        ----      ----      ----      ----      ----    UNCH                  .1054                       4
220        ----      ----      ----      ----      ----    UNCH                  .1359                       7
225        ----      ----      ----      ----      ----    UNCH                  .1534                     168
230        ----      ----      ----      ----      ----    UNCH                  .1725                      11
240        ----      ----      ----      ----      ----    UNCH                  .2153           1          40
245        ----      ----      ----      ----      ----    UNCH                  .2390                      62
250        ----      ----      ----      ----      ----    UNCH                  .2644                      58
E7 AUG21 Henry Hub Natural Gas Last Day Financial Option PUT
200        ----      ----      ----      ----      ----    UNCH                  .0846                      19
210        ----      ----      ----      ----      ----    UNCH                  .1100                       4
220        ----      ----      ----      ----      ----    UNCH                  .1408                       7
225        ----      ----      ----      ----      ----    UNCH                  .1584                     168
230        ----      ----      ----      ----      ----    UNCH                  .1774                      11
240        ----      ----      ----      ----      ----    UNCH                  .2200           1          40
245        ----      ----      ----      ----      ----    UNCH                  .2436                      62
250        ----      ----      ----      ----      ----    UNCH                  .2687                      58
E7 SEP21 Henry Hub Natural Gas Last Day Financial Option PUT
200        ----      ----      ----      ----      ----    UNCH                  .0942                      18
210        ----      ----      ----      ----      ----    UNCH                  .1212                       4
220        ----      ----      ----      ----      ----    UNCH                  .1537                       7
225        ----      ----      ----      ----      ----    UNCH                  .1720                     168
230        ----      ----      ----      ----      ----    UNCH                  .1918                      10
240        ----      ----      ----      ----      ----    UNCH                  .2358           1          39
245        ----      ----      ----      ----      ----    UNCH                  .2600                      60
250        ----      ----      ----      ----      ----    UNCH                  .2857                      57
E7 OCT21 Henry Hub Natural Gas Last Day Financial Option PUT
200        ----      ----      ----      ----      ----    UNCH                  .0996                      17
210        ----      ----      ----      ----      ----    UNCH                  .1270                       4
220        ----      ----      ----      ----      ----    UNCH                  .1596                       7
225        ----      ----      ----      ----      ----    UNCH                  .1780                     168
230        ----      ----      ----      ----      ----    UNCH                  .1977                      10
240        ----      ----      ----      ----      ----    UNCH                  .2414           1          36
245        ----      ----      ----      ----      ----    UNCH                  .2653                      62
250        ----      ----      ----      ----      ----    UNCH                  .2906                      58
E7 NOV21 Henry Hub Natural Gas Last Day Financial Option PUT
200        ----      ----      ----      ----      ----    UNCH                  .1034                      15
225        ----      ----      ----      ----      ----    UNCH                  .1839                     168
230        ----      ----      ----      ----      ----    UNCH                  .2036                      10
240        ----      ----      ----      ----      ----    UNCH                  .2467           1          35
245        ----      ----      ----      ----      ----    UNCH                  .2699                      60
250        ----      ----      ----      ----      ----    UNCH                  .2943                      57
E7 DEC21 Henry Hub Natural Gas Last Day Financial Option PUT
200        ----      ----      ----      ----      ----    UNCH                  .1025                      16
225        ----      ----      ----      ----      ----    UNCH                  .1790                     168
230        ----      ----      ----      ----      ----    UNCH                  .1976                      10
240        ----      ----      ----      ----      ----    UNCH                  .2381           1          36
245        ----      ----      ----      ----      ----    UNCH                  .2600                      62
250        ----      ----      ----      ----      ----    UNCH                  .2829                      58
E7 JAN22 Henry Hub Natural Gas Last Day Financial Option PUT
200        ----      ----      ----      ----      ----    UNCH                  .0852                       2
230        ----      ----      ----      ----      ----    UNCH                  .1799                       1
235        ----      ----      ----      ----      ----    UNCH                  .2005                      10
E7 FEB22 Henry Hub Natural Gas Last Day Financial Option PUT
230        ----      ----      ----      ----      ----    UNCH                  .2181                       1
235        ----      ----      ----      ----      ----    UNCH                  .2409                      10
E7 MAR22 Henry Hub Natural Gas Last Day Financial Option PUT
230        ----      ----      ----      ----      ----    UNCH                  .2808                       1
235        ----      ----      ----      ----      ----    UNCH                  .3073                      10
E7 APR22 Henry Hub Natural Gas Last Day Financial Option PUT
210        ----      ----      ----      ----      ----    UNCH                  .1841                      46
230        ----      ----      ----      ----      ----    UNCH                  .2875                       1
E7 MAY22 Henry Hub Natural Gas Last Day Financial Option PUT
210        ----      ----      ----      ----      ----    UNCH                  .1803                      46
230        ----      ----      ----      ----      ----    UNCH                  .2874                       1
E7 JUN22 Henry Hub Natural Gas Last Day Financial Option PUT
210        ----      ----      ----      ----      ----    UNCH                  .1628                      46
E7 JLY22 Henry Hub Natural Gas Last Day Financial Option PUT
210        ----      ----      ----      ----      ----    UNCH                  .1495                      46
E7 AUG22 Henry Hub Natural Gas Last Day Financial Option PUT
210        ----      ----      ----      ----      ----    UNCH                  .1464                      46
E7 SEP22 Henry Hub Natural Gas Last Day Financial Option PUT
210        ----      ----      ----      ----      ----    UNCH                  .1533                      46
E7 OCT22 Henry Hub Natural Gas Last Day Financial Option PUT
210        ----      ----      ----      ----      ----    UNCH                  .1508                      46
E7 NOV22 Henry Hub Natural Gas Last Day Financial Option PUT
210        ----      ----      ----      ----      ----    UNCH                  .1398                      46
E7 DEC22 Henry Hub Natural Gas Last Day Financial Option PUT
210        ----      ----      ----      ----      ----    UNCH                  .1172                      46
TOTAL                                                               EST.VOL                 VOLUME    OPEN INT
TOTAL                                                                                           12       10074
OH AUG20 NY Harbor ULSD Option CALL
0          ----      ----      ----      ----      ----    UNCH                 1.1774
10000      ----      ----      ----      ----      ----    UNCH                  .1987                      62
10500      ----      ----      ----      ----      ----    UNCH                  .1594
10600      ----      ----      ----      ----      ----    UNCH                  .1519                       6
10700      ----      ----      ----      ----      ----    UNCH                  .1446                       1
11000      ----      ----      ----      ----      ----    UNCH                  .1239                      13
11200      ----      ----      ----      ----      ----    UNCH                  .1110                      10
11500      ----      ----     .0890A    .0890A     ----    UNCH                  .0930           1           9
11600      ----      ----     .0840A    .0840A     ----    UNCH                  .0874           5          17
11700      ----      ----     .0790A    .0790A     ----    UNCH                  .0821                     135
11800      ----      ----     .0745A    .0745A     ----    UNCH                  .0770                       2
11900      ----      ----     .0700A    .0700A     ----    UNCH                  .0722           1         102
12000      ----      ----     .0660A    .0660A     ----    UNCH                  .0677                     207
12100      ----      ----     .0620A    .0620A     ----    UNCH                  .0634                       3
12200      ----      ----     .0585A    .0585A     ----    UNCH                  .0593                       5
12400      ----      ----      ----      ----      ----    UNCH                  .0518                      77
12500      ----      ----      ----      ----      ----    UNCH                  .0484                     118
12600      ----      ----      ----      ----      ----    UNCH                  .0453                      26
12700      ----      ----      ----      ----      ----    UNCH                  .0423                      30
13000      ----      ----      ----      ----      ----    UNCH                  .0343                      14
13500      ----      ----      ----      ----      ----    UNCH                  .0238                       1
13700      ----      ----      ----      ----      ----    UNCH                  .0205                       1
14000      ----      ----      ----      ----      ----    UNCH                  .0164           6         108
14500      ----      ----      ----      ----      ----    UNCH                  .0113                      50
15000      ----      ----      ----      ----      ----    UNCH                  .0076                      11
16000      ----      ----      ----      ----      ----    UNCH                  .0033                     200
16800      ----      ----      ----      ----      ----    UNCH                  .0016                       8
17000      ----      ----      ----      ----      ----    UNCH                  .0013                       1
17100      ----      ----      ----      ----      ----    UNCH                  .0012                      11
17200      ----      ----      ----      ----      ----    UNCH                  .0010                       8
18300      ----      ----      ----      ----      ----    UNCH                  .0003                       1
18800      ----      ----      ----      ----      ----    UNCH                  .0002                       1
19000      ----      ----      ----      ----      ----    UNCH                  .0001                       1
19500      ----      ----      ----      ----      ----    UNCH                  .0001                      14
20000      ----      ----      ----      ----      ----    UNCH                  .0001                      22
21000      ----      ----      ----      ----      ----    UNCH                  .0001                      11
22000      ----      ----      ----      ----      ----    UNCH                  .0001                       9
23000      ----      ----      ----      ----      ----    UNCH                  .0001                      39
24000      ----      ----      ----      ----      ----    UNCH                  .0001                       4
26500      ----      ----      ----      ----      ----    UNCH                  .0001                       6
8000       ----      ----      ----      ----      ----    UNCH                  .3801                     100
8300       ----      ----      ----      ----      ----    UNCH                  .3513                     250
8400       ----      ----      ----      ----      ----    UNCH                  .3417                     300
9000       ----      ----      ----      ----      ----    UNCH                  .2857                     203
9200       ----      ----      ----      ----      ----    UNCH                  .2675                     300
9500       ----      ----      ----      ----      ----    UNCH                  .2410                      27
9800       ----      ----      ----      ----      ----    UNCH                  .2152                       1
9900       ----      ----      ----      ----      ----    UNCH                  .2069                       6
OH SEP20 NY Harbor ULSD Option CALL
10000      ----      ----      ----      ----      ----    UNCH                  .2325                       1
10100      ----      ----      ----      ----      ----    UNCH                  .2248                       1
10200      ----      ----      ----      ----      ----    UNCH                  .2172                       5
10500      ----      ----      ----      ----      ----    UNCH                  .1950                      14
10600      ----      ----      ----      ----      ----    UNCH                  .1879                       1
10700      ----      ----      ----      ----      ----    UNCH                  .1810                       3
10800      ----      ----      ----      ----      ----    UNCH                  .1741                       1
11200      ----      ----      ----      ----      ----    UNCH                  .1482                       2
11400      ----      ----     .1345A    .1345A     ----    UNCH                  .1361                       4
11500      ----      ----     .1290A    .1290A     ----    UNCH                  .1304                     228
11600      ----      ----     .1235A    .1235A     ----    UNCH                  .1248                       5
11700      ----      ----     .1185A    .1185A     ----    UNCH                  .1195                     211
11800      ----      ----     .1135A    .1135A     ----    UNCH                  .1143                       3
11900      ----      ----     .1085A    .1085A     ----    UNCH                  .1092                       8
12000      ----      ----     .0980A    .0980A     ----    UNCH                  .1043                     554
12100      ----      ----      ----      ----      ----    UNCH                  .0995                       7
12200      ----      ----      ----      ----      ----    UNCH                  .0949                       5
12300      ----      ----      ----      ----      ----    UNCH                  .0904                       6
12400      ----      ----      ----      ----      ----    UNCH                  .0861                      53
12500      ----      ----      ----      ----      ----    UNCH                  .0819                     169
12700      ----      ----      ----      ----      ----    UNCH                  .0741                      26
12800      ----      ----      ----      ----      ----    UNCH                  .0704
12900      ----      ----      ----      ----      ----    UNCH                  .0668                       1
13000      ----      ----      ----      ----      ----    UNCH                  .0634                      32
13200      ----      ----      ----      ----      ----    UNCH                  .0571                       1
13300      ----      ----      ----      ----      ----    UNCH                  .0541                       2
13500      ----      ----      ----      ----      ----    UNCH                  .0485                       1
13600      ----      ----      ----      ----      ----    UNCH                  .0459                       5
13700      ----      ----      ----      ----      ----    UNCH                  .0434                       2
13800      ----      ----      ----      ----      ----    UNCH                  .0410                       6
14000      ----      ----      ----      ----      ----    UNCH                  .0366                      23
14500      ----      ----      ----      ----      ----    UNCH                  .0274                       5
15000      ----      ----      ----      ----      ----    UNCH                  .0205                     599
15100      ----      ----      ----      ----      ----    UNCH                  .0193                       5
15200      ----      ----      ----      ----      ----    UNCH                  .0182                       4
15300      ----      ----      ----      ----      ----    UNCH                  .0171                      17
15400      ----      ----      ----      ----      ----    UNCH                  .0160                       2
15500      ----      ----      ----      ----      ----    UNCH                  .0151                     245
15700      ----      ----      ----      ----      ----    UNCH                  .0132                     250
16000      ----      ----      ----      ----      ----    UNCH                  .0108                     254
16400      ----      ----      ----      ----      ----    UNCH                  .0082                       4
17000      ----      ----      ----      ----      ----    UNCH                  .0054                     104
17400      ----      ----      ----      ----      ----    UNCH                  .0040                       2
17500      ----      ----      ----      ----      ----    UNCH                  .0037                       9
18000      ----      ----      ----      ----      ----    UNCH                  .0026                       2
18500      ----      ----      ----      ----      ----    UNCH                  .0018                    1112
18600      ----      ----      ----      ----      ----    UNCH                  .0017                       2
18800      ----      ----      ----      ----      ----    UNCH                  .0014                     100
19000      ----      ----      ----      ----      ----    UNCH                  .0012                     620
19100      ----      ----      ----      ----      ----    UNCH                  .0011                     151
19200      ----      ----      ----      ----      ----    UNCH                  .0011                     300
19500      ----      ----      ----      ----      ----    UNCH                  .0008                      10
19800      ----      ----      ----      ----      ----    UNCH                  .0007                       5
20000      ----      ----      ----      ----      ----    UNCH                  .0006                     221
20100      ----      ----      ----      ----      ----    UNCH                  .0005                      11
20300      ----      ----      ----      ----      ----    UNCH                  .0004                      18
20700      ----      ----      ----      ----      ----    UNCH                  .0003                       1
20800      ----      ----      ----      ----      ----    UNCH                  .0003                       1
20900      ----      ----      ----      ----      ----    UNCH                  .0003                       2
21000      ----      ----      ----      ----      ----    UNCH                  .0002                       2
21200      ----      ----      ----      ----      ----    UNCH                  .0002                       1
21300      ----      ----      ----      ----      ----    UNCH                  .0002                       2
21400      ----      ----      ----      ----      ----    UNCH                  .0002                       2
21500      ----      ----      ----      ----      ----    UNCH                  .0002                       2
22000      ----      ----      ----      ----      ----    UNCH                  .0001                       3
22900      ----      ----      ----      ----      ----    UNCH                  .0001                       3
23000      ----      ----      ----      ----      ----    UNCH                  .0001                      29
23500      ----      ----      ----      ----      ----    UNCH                  .0001                       1
7300       ----      ----      ----      ----      ----    UNCH                  .4736                     300
8600       ----      ----      ----      ----      ----    UNCH                  .3517                     200
9300       ----      ----      ----      ----      ----    UNCH                  .2899                     101
9500       ----      ----      ----      ----      ----    UNCH                  .2729                     300
OH OCT20 NY Harbor ULSD Option CALL
10000      ----      ----      ----      ----      ----    UNCH                  .2609                     100
10200      ----      ----      ----      ----      ----    UNCH                  .2463                       2
11000      ----      ----      ----      ----      ----    UNCH                  .1935                       5
11400      ----      ----      ----      ----      ----    UNCH                  .1702                       1
11500      ----      ----      ----      ----      ----    UNCH                  .1645                       1
12000      ----      ----      ----      ----      ----    UNCH                  .1377                      15
12100      ----      ----      ----      ----      ----    UNCH                  .1327                       1
12400      ----      ----      ----      ----      ----    UNCH                  .1180                      11
12700      ----      ----      ----      ----      ----    UNCH                  .1044                      13
13000      ----      ----      ----      ----      ----    UNCH                  .0919                     260
13500      ----      ----      ----      ----      ----    UNCH                  .0737                      52
13700      ----      ----      ----      ----      ----    UNCH                  .0674                      15
14200      ----      ----      ----      ----      ----    UNCH                  .0533                      53
14500      ----      ----      ----      ----      ----    UNCH                  .0461                      27
14600      ----      ----      ----      ----      ----    UNCH                  .0439                       1
15000      ----      ----      ----      ----      ----    UNCH                  .0359                       1
16000      ----      ----      ----      ----      ----    UNCH                  .0211                       1
16100      ----      ----      ----      ----      ----    UNCH                  .0199                       2
16200      ----      ----      ----      ----      ----    UNCH                  .0188                       3
16300      ----      ----      ----      ----      ----    UNCH                  .0178                       1
16600      ----      ----      ----      ----      ----    UNCH                  .0150                       1
17000      ----      ----      ----      ----      ----    UNCH                  .0118
17900      ----      ----      ----      ----      ----    UNCH                  .0068                       1
18500      ----      ----      ----      ----      ----    UNCH                  .0047                       1
19000      ----      ----      ----      ----      ----    UNCH                  .0034                      50
19500      ----      ----      ----      ----      ----    UNCH                  .0024                      10
20000      ----      ----      ----      ----      ----    UNCH                  .0017                      20
23000      ----      ----      ----      ----      ----    UNCH                  .0002                      20
OH NOV20 NY Harbor ULSD Option CALL
10200      ----      ----      ----      ----      ----    UNCH                  .2742                       1
10300      ----      ----      ----      ----      ----    UNCH                  .2674                       1
10400      ----      ----      ----      ----      ----    UNCH                  .2608                       2
11000      ----      ----      ----      ----      ----    UNCH                  .2233                     105
11200      ----      ----      ----      ----      ----    UNCH                  .2116                       2
11300      ----      ----      ----      ----      ----    UNCH                  .2058                       1
11500      ----      ----      ----      ----      ----    UNCH                  .1942                       3
11700      ----      ----      ----      ----      ----    UNCH                  .1829                       1
12000      ----      ----      ----      ----      ----    UNCH                  .1667                       3
12100      ----      ----      ----      ----      ----    UNCH                  .1614                       2
12200      ----      ----      ----      ----      ----    UNCH                  .1562                       1
12300      ----      ----      ----      ----      ----    UNCH                  .1511                       4
12500      ----      ----      ----      ----      ----    UNCH                  .1411                       3
12700      ----      ----      ----      ----      ----    UNCH                  .1314                       3
12800      ----      ----      ----      ----      ----    UNCH                  .1266                       1
13000      ----      ----      ----      ----      ----    UNCH                  .1174                       6
13100      ----      ----      ----      ----      ----    UNCH                  .1129                       1
13500      ----      ----      ----      ----      ----    UNCH                  .0961                      26
13700      ----      ----      ----      ----      ----    UNCH                  .0883                      15
14500      ----      ----      ----      ----      ----    UNCH                  .0619                       6
14600      ----      ----      ----      ----      ----    UNCH                  .0592                       1
14900      ----      ----      ----      ----      ----    UNCH                  .0517                       1
15000      ----      ----      ----      ----      ----    UNCH                  .0494                      10
15200      ----      ----      ----      ----      ----    UNCH                  .0450                       1
